title,releaseDate,genre,language
Lightyear,2022-06-17,"Kids & family, Comedy, Adventure, Sci-fi, Animation, Action",English
Waltair Veerayya,2023-01-13,"Action, Drama",Telugu
Frantz,2017-03-15,"History, Drama",French (France)
The Personal History of David Copperfield,2020-08-28,"Comedy, Drama",English (United Kingdom)
The Black Phone,2022-06-24,"Horror, Mystery & thriller",English
Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,2018-05-11,Documentary,English
Palm Springs,2020-07-10,"Romance, Comedy",English
Zero Days,2016-07-08,Documentary,English
Puzzle,2018-07-27,Drama,English
Don't Come Back From the Moon,2019-01-18,Drama,English
The Post,2018-01-12,"History, Drama",English
Rushed,2021-08-27,"Mystery & thriller, Horror",English
The 24th,2020-08-21,"History, Drama",English
I'm Not Ashamed,2016-10-21,"Drama, Biography",English
Poop Talk,2018-02-16,"Documentary, Comedy",English
The Brand New Testament,2016-12-09,"Comedy, Fantasy",French (France)
Florence Foster Jenkins,2016-08-12,"Biography, Comedy, Drama, Music",English
Tully,2018-05-04,"Comedy, Drama",English
Meet the Patels,2015-09-11,"Documentary, Comedy",English
The Diary of a Teenage Girl,2015-08-07,Drama,English
Sing Street,2016-05-13,"Comedy, Drama, Romance, Music",English
Heart of a Dog,2015-10-21,Documentary,English
Front Cover,2016-08-05,"Romance, Comedy, Drama, Lgbtq+",English
Bad Blood: The Movie,2017-10-13,Horror,English
The Night Eats the World,2018-07-13,"Horror, Mystery & thriller",English
The Donor Party,2023-03-03,Comedy,English
Don't Breathe 2,2021-08-13,"Mystery & thriller, Horror, Action",English
Billie,2020-12-04,"Documentary, Music, Biography",English
Logan Lucky,2017-08-18,"Comedy, Crime, Drama",English
A Quiet Place,2018-04-06,"Horror, Mystery & thriller",English
Sami Blood,2017-06-02,Drama,Swedish
"Hunt Her, Kill Her",2023-03-03,"Horror, Mystery & thriller",English
Studio 54: The Documentary,2018-10-05,"Documentary, Lgbtq+",English
Dune,2021-10-22,"Sci-fi, Adventure, Action, Drama",English
Very Semi-Serious,2015-11-20,Documentary,English
40 Years in the Making: The Magic Music Movie,2018-08-03,Documentary,English
Over the Limit,2018-10-12,Documentary,Russian
I Am Not Madame Bovary,2016-11-18,Comedy,Chinese
The Good Catholic,2017-09-08,"Drama, Romance",English
A Skin So Soft,2018-06-15,Documentary,English
This Is Congo,2018-06-29,"Documentary, History, Drama, War",English
Colliding Dreams,2016-02-19,Documentary,English
Mouthpiece,2019-05-31,Drama,English
Spies in Disguise,2019-12-25,"Kids & family, Comedy, Adventure, Action, Animation",English
Spirit Game: Pride of a Nation,2017-05-26,Documentary,English
Promare,2019-09-20,"Adventure, Sci-fi, Anime",Japanese
Whitney,2018-07-06,"Documentary, Music",English
Billie Eilish: The World's a Little Blurry,2021-02-26,"Documentary, Music",English
1000 Rupee Note,2016-09-23,Drama,Marathi
Hagazussa: A Heathen's Curse,2019-04-19,Horror,German
Spettacolo,2017-09-06,Documentary,Italian
Compartment No. 6,2022-01-26,Drama,Russian
You Won't Be Alone,2022-04-01,"Horror, Drama",Macedonian
The Workshop,2018-03-23,"Drama, Mystery & thriller",French (France)
Nope,2022-07-22,"Sci-fi, Horror, Mystery & thriller",English
The Teacher,2017-08-30,"Comedy, Drama",Slovak
Neptune Frost,2022-06-03,"Musical, Sci-fi",Swahili
The Automat,2022-02-18,Documentary,English
Hostage to the Devil,2016-10-31,"Documentary, Biography",English
All Saints,2017-08-25,Drama,English
Ingrid Goes West,2017-08-25,"Comedy, Drama",English
Sometimes Always Never,2020-03-06,"Comedy, Drama",English (United Kingdom)
El último traje,2018-09-21,"Comedy, Drama",Spanish
Goldie,2020-02-21,Drama,English
Keep Quiet,2017-02-17,Documentary,English
Brawl in Cell Block 99,2017-10-06,"Action, Mystery & thriller",English
Tales of an Immoral Couple,2017-08-25,"Romance, Comedy",Spanish
Riders of Justice,2021-05-14,"Action, Mystery & thriller, Comedy",Danish
Call Her Ganda,2018-09-21,Documentary,Filipino
Marry Me,2022-02-11,"Romance, Comedy",English
A Silent Voice,2017-10-20,"Drama, Romance, Anime",Japanese
Neerja,2016-02-19,"Biography, Drama",Hindi
Bluebird,2019-11-15,"Documentary, Music",English
Bharath Enna Njan,2018-04-19,Drama,Telugu
Blue My Mind,2018-11-13,"Drama, Fantasy",German
A Quiet Passion,2017-04-14,"Biography, History, Drama",English
Occupation,2018-07-20,"Sci-fi, Action",English (Australia)
Four Good Days,2021-04-30,Drama,English
Close Range,2015-12-11,Action,English
Banana Split,2020-03-27,Comedy,English
Harpoon,2019-10-04,"Mystery & thriller, Comedy",English
Ordinary Love,2020-02-14,"Drama, Romance",English (United Kingdom)
Minions: The Rise of Gru,2022-07-01,"Kids & family, Comedy, Adventure, Animation",English
Weird: The Al Yankovic Story,2022-11-01,"Biography, Comedy, Music",English
INU-OH,2022-08-12,"Fantasy, Anime, Musical",Japanese
Violet,2021-10-29,Drama,English
Color Out of Space,2020-01-24,"Horror, Sci-fi",English
First Cow,2020-03-06,"Western, Drama",English
Give or Take,2022-02-11,"Comedy, Drama",English
The Trip to Spain,2017-08-11,Comedy,English
I Am Not a Witch,2018-09-07,Drama,English
Princess of the Row,2020-11-27,Drama,English
Non-Fiction,2019-05-03,"Comedy, Drama, Romance",French (France)
I Do Not Care If We Go Down in History as Barbarians,2019-07-19,"Comedy, Drama",Romanian
Hala,2019-11-22,"Drama, Romance",English
Indivisible,2018-10-26,"War, Drama",English
Mosul,2020-06-12,"Mystery & thriller, Drama, War",English
Wildland,2021-08-20,"Crime, Drama, Mystery & thriller",Danish
Werewolves Within,2021-06-25,"Comedy, Horror, Mystery & thriller",English
Sell/Buy/Date,2022-10-14,"Documentary, Comedy, Drama",English
Band Aid,2017-06-02,"Comedy, Drama",English
The Burial of Kojo,2019-03-29,"Drama, Mystery & thriller",English
Detroit,2017-08-04,"Crime, Drama",English
Marianne & Leonard: Words of Love,2019-07-05,"Documentary, Music, Biography",English
Served Like a Girl,2017-08-25,Documentary,English
Be Natural: The Untold Story of Alice Guy-Blaché,2019-03-15,Documentary,English
White Rabbit,2018-09-21,"Comedy, Drama",English
Closet Monster,2016-09-23,"Drama, Lgbtq+",English
Infidel,2020-09-18,Mystery & thriller,English
Oddball,2016-12-06,"Kids & family, Adventure",English (Australia)
Theeb,2015-11-06,"Adventure, Drama, Mystery & thriller",Arabic
Skin,2019-07-26,"Biography, Drama",English
Firecrackers,2019-07-12,Drama,English
Happening,2022-05-06,Drama,French (France)
Undergods,2021-05-07,"Sci-fi, Mystery & thriller",English (United Kingdom)
In the Heights,2021-06-10,Musical,English
TransFatty Lives,2015-11-20,"Biography, Documentary",English
Tiny Tim: King for a Day,2021-04-23,"Documentary, Music",English
The Misguided,2018-01-26,Drama,English (Australia)
16 Bars,2019-11-08,Documentary,English
A Writer's Odyssey,2021-02-12,"Action, Fantasy",Chinese
Road Games,2016-03-04,Mystery & thriller,English (United Kingdom)
The Quiet Girl,2022-12-16,Drama,English
Trophy,2017-09-08,Documentary,English
Sublet,2021-06-11,"Comedy, Drama, Lgbtq+",English
The Lovers,2017-05-26,"Romance, Comedy",English
Scenes from an Empty Church,2021-07-02,"Comedy, Drama",English
Knife + Heart,2019-03-13,"Mystery & thriller, Lgbtq+",French (France)
Invisible Life,2019-12-20,"Drama, Romance",Portuguese (Brazil)
Servants,2022-02-25,Drama,Slovak
The Great Buster: A Celebration,2018-10-05,Documentary,English
Straight Outta Compton,2015-08-14,"Biography, Drama, Music",English
Lost Inside,2022-08-02,"Comedy, Drama",English
Bala,2019-11-07,"Romance, Comedy",Hindi
Border,2018-10-26,"Fantasy, Horror, Mystery & thriller, Romance",Swedish
Hunter Hunter,2020-12-18,"Horror, Mystery & thriller",English
Drishyam 2,2022-11-18,"Action, Mystery & thriller",Hindi
My Prince Edward,2020-09-04,Drama,English
A Space Program,2016-03-18,Documentary,English
Hounds of Love,2017-05-12,"Mystery & thriller, Crime, Drama",English (Australia)
Maya Angelou and Still I Rise,2016-10-14,Documentary,English
Saving Banksy,2017-01-13,Documentary,English
You Are Not My Mother,2022-03-25,"Horror, Drama",English
Green Room,2016-04-29,"Mystery & thriller, Horror",English
Escape From Mogadishu,2021-08-06,"War, Drama, Mystery & thriller",Korean
Woman in Motion,2021-02-02,Documentary,English
Raise Hell: The Life & Times of Molly Ivins,2019-08-30,Documentary,English
12 Mighty Orphans,2021-06-11,"History, Drama",English
The Father,2021-02-26,Drama,English (United Kingdom)
Magnus,2016-11-18,Documentary,Norwegian
Wife of a Spy,2021-09-17,"Mystery & thriller, History, Drama",Japanese
Poupelle of Chimney Town,2021-12-30,"Fantasy, Adventure, Anime",Japanese
Unicorn Wars,2023-03-10,"Fantasy, Action, Animation, Comedy, Horror",Spanish (Spain)
The Rose Maker,2022-04-01,"Comedy, Drama",French (France)
It's Not Yet Dark,2017-08-04,Documentary,English
Who You Think I Am,2021-09-03,"Romance, Drama",French (France)
The Phantom,2021-07-02,Documentary,English
Two of Us,2021-02-05,"Drama, Romance, Lgbtq+",French (France)
Midnight,2022-04-01,Mystery & thriller,Korean
78/52,2017-10-13,Documentary,English
Kung Fu Panda 3,2016-01-29,"Kids & family, Comedy, Adventure, Animation",English
Heneral Luna,2015-10-30,"History, Drama, Biography, War",Filipino
Just Mercy,2020-01-10,Drama,English
What We Do in the Shadows,2015-02-13,"Comedy, Horror",English
The Brink,2019-03-29,Documentary,English
Inventing Tomorrow,2018-08-31,Documentary,English
Battle for Saipan,2022-11-25,"War, History, Drama, Action",English
Instant Dreams,2019-04-19,Documentary,English
Guillermo del Toro's Pinocchio,2022-11-09,"Musical, Fantasy, Animation",English
The Revenant,2016-01-08,"Adventure, Western",English
Licorice Pizza,2021-12-25,Comedy,English
The Devil You Know,2022-04-01,"Crime, Drama, Mystery & thriller",English
Creed,2015-11-25,Drama,English
Forsaken,2016-02-19,"Western, Drama",English
The Public Image Is Rotten,2018-09-14,"Documentary, Music",English
What Is Democracy?,2019-01-16,Documentary,English
The Woman Who Ran,2021-07-09,"Comedy, Drama",Korean
Kusama: Infinity,2018-09-07,Documentary,English
Assassins,2020-12-11,"Documentary, Biography",Vietnamese
The Departure,2017-10-13,Documentary,Japanese
Blue Jay,2016-10-07,Drama,English
Nothing Like a Dame,2018-09-21,Documentary,English (United Kingdom)
Vengeance,2022-07-29,"Comedy, Mystery & thriller, Drama, Horror",English
Martin Eden,2020-10-16,"History, Drama, Romance",Italian
Shang-Chi and the Legend of the Ten Rings,2021-09-03,"Action, Adventure, Fantasy",English
Aladdin,2019-05-24,"Kids & family, Musical, Comedy, Fantasy, Adventure, Romance",English
A River Below,2017-11-03,Documentary,English
See for Me,2022-01-07,"Mystery & thriller, Crime, Drama",English
GameStop: Rise of the Players,2022-01-28,Documentary,English
Blockers,2018-04-06,Comedy,English
Mortal Kombat Legends: Scorpion's Revenge,2020-04-12,"Action, Adventure, Animation",English
Only the Animals,2021-10-29,"Mystery & thriller, Lgbtq+",French (France)
Hit the Road,2022-04-22,"Comedy, Drama",Persian
Rebels on Pointe,2017-11-15,"Documentary, Lgbtq+",English
The Music of Strangers: Yo-Yo Ma & the Silk Road Ensemble,2016-06-10,"Documentary, Music",English
Everybody's Everything,2019-11-15,"Documentary, Music",English
Becoming Astrid,2018-11-23,"Biography, History, Drama",Swedish
The Golem,2019-02-01,"Horror, Mystery & thriller",English
Dolemite Is My Name,2019-10-04,"Biography, Comedy, Drama",English
Dead Pigs,2021-06-28,"Comedy, Drama",Chinese
Walking on Water,2019-05-01,"Documentary, Adventure, Comedy",English
Paterson,2016-12-28,Drama,English
Meru,2015-08-14,Documentary,English
Holy Spider,2022-10-28,"Crime, Drama, Mystery & thriller",Persian
Monkey Kingdom,2015-04-17,Documentary,English
My Golden Days,2016-03-18,"Drama, Romance",French (Canada)
Pacifiction,2023-02-17,"Drama, Mystery & thriller",French (France)
The Wind,2019-04-05,"Horror, Mystery & thriller, Western",English
That Summer,2018-05-18,Documentary,English (United Kingdom)
Terra Willy,2020-10-23,"Kids & family, Comedy, Adventure, Sci-fi, Animation",French (France)
American Insurrection,2021-10-08,"Action, Mystery & thriller",English
Belfast,2021-11-12,Drama,English
The Second Time Around,2018-12-14,Romance,English
The Rider,2018-04-13,"Drama, Western",English
Stray,2021-03-05,Documentary,Chinese
Close,2022-12-02,Drama,French (France)
The Blazing World,2021-10-15,"Horror, Mystery & thriller",English
Waterman,2022-04-01,"Documentary, Biography",English
Cold Brook,2019-11-08,"Comedy, Drama",English
Dear Comrades!,2021-01-29,"History, Drama",Russian
The Booksellers,2020-03-06,Documentary,English
Final Account,2021-05-21,Documentary,German
Cha Cha Real Smooth,2022-06-17,"Comedy, Drama",English
Becoming Cousteau,2021-10-22,"Documentary, Biography",English
The Island,2018-08-10,"Comedy, Adventure",Chinese
The Lost City,2022-03-25,"Romance, Comedy, Adventure, Action",English
Among Wolves,2018-11-04,Documentary,Croatian
The Tutor,2023-03-24,Mystery & thriller,English
The Bleeding Edge,2018-07-27,Documentary,English (Australia)
Cop Car,2015-08-07,Mystery & thriller,English
"Hale County This Morning, This Evening",2018-09-14,Documentary,English
Shine,2018-10-05,"Drama, Musical",English
Brian and Charles,2022-06-17,Comedy,English
Finding You,2021-05-14,"Romance, Comedy",English
Echo Boomers,2020-11-13,"Mystery & thriller, Crime, Drama",English
Holy Air,2017-11-17,Comedy,Arabic
Squeal,2022-08-19,"Comedy, Drama",Latvian
Little Sister,2016-10-14,"Comedy, Drama",English
X,2022-03-18,"Horror, Mystery & thriller",English
Dark Waters,2019-12-06,"Drama, Mystery & thriller",English
Blood From Stone,2020-10-30,"Horror, Mystery & thriller",English
Jawline,2019-08-23,Documentary,English
Mosley,2021-12-10,"Kids & family, Adventure, Animation, Fantasy",English
The Freedom to Marry,2017-03-03,"Documentary, Lgbtq+",English
Shazam! Fury of the Gods,2023-03-17,"Action, Adventure, Comedy, Fantasy",English
The Black Prince,2017-07-21,"History, Drama",English
Here Before,2022-02-11,"Mystery & thriller, Drama",English
Delia's Gone,2022-08-19,"Mystery & thriller, Crime, Drama",English
Ben Is Back,2019-01-11,"Drama, Mystery & thriller",English
The Climb,2020-11-13,"Comedy, Drama",English
Rock Camp: The Movie,2021-01-15,"Documentary, Music",English
You Will Die at Twenty,2021-01-22,Drama,Arabic
Sooryavanshi,2021-11-05,Action,Hindi
Dance Academy: The Movie,2018-03-02,Drama,English
"Anne at 13,000 ft",2021-09-03,Drama,English
The Secret Life of Pets 2,2019-06-07,"Kids & family, Comedy, Adventure, Animation",English
Life and Nothing More,2018-10-24,Drama,English
Working Woman,2019-03-27,Drama,Hebrew
The Extraordinary Journey of the Fakir,2019-06-21,"Comedy, Drama, Adventure",English
Pray: The Story of Patrick Peyton,2020-10-09,Documentary,English
Jujutsu Kaisen 0: The Movie,2022-03-18,"Fantasy, Action, Adventure, Anime",Japanese
After the Storm,2017-03-17,Drama,Japanese
Fantastic Fungi,2019-10-11,Documentary,English
On Her Shoulders,2018-10-19,Documentary,English
3100: Run and Become,2018-10-24,Documentary,English
Anna,2019-06-21,"Action, Mystery & thriller",English
Official Secrets,2019-08-30,"Drama, Mystery & thriller",English
Support the Girls,2018-08-24,Comedy,English
Alone,2020-09-18,Mystery & thriller,English
A Fantastic Woman,2018-02-02,"Drama, Lgbtq+",Spanish
Christine,2016-10-14,"Biography, Drama",English
Everything Everywhere All at Once,2022-04-08,"Comedy, Adventure, Sci-fi, Fantasy",English
A Bigger Splash,2016-05-04,"Mystery & thriller, Drama",English
Where Is Kyra?,2018-04-06,Drama,English
The Overnight,2015-06-19,Comedy,English
Asia,2021-06-11,Drama,Hebrew
They/Them/Us,2022-01-28,"Comedy, Drama, Romance",English
Minamata,2021-12-15,Drama,English
Kills on Wheels,2017-10-20,"Action, Comedy, Drama",Hungarian
The Killer,2022-07-13,"Action, Mystery & thriller",Korean
The Spy Behind Home Plate,2019-05-24,Documentary,English
Not Going Quietly,2021-08-13,Documentary,English
Stefan Zweig: Farewell to Europe,2017-05-12,"Biography, History, Drama",German
Moka,2017-06-14,Drama,French (France)
Atlantics,2019-11-15,Drama,Wolof
Till Death,2021-07-02,"Mystery & thriller, Action",English
American Relapse,2019-03-29,Documentary,English
Panga,2020-01-24,Drama,Hindi
Holler,2021-06-11,Drama,English
Saand Ki Aankh,2019-10-25,"Comedy, Drama",Hindi
Paulina,2017-06-23,Drama,Spanish
Daughter,2023-02-10,"Mystery & thriller, Horror",English
The Witch,2016-02-19,"Horror, History, Drama",English
If the Dancer Dances,2019-04-26,Documentary,English
Division 19,2019-04-05,"Mystery & thriller, Sci-fi, Action",English
Respect,2021-08-13,"Biography, Drama, Music",English
Brother's Keeper,2022-10-21,"Drama, Mystery & thriller",English
Tokyo Ghoul 'S',2019-09-16,"Action, Drama, Fantasy",Japanese
Francofonia,2016-04-01,"Documentary, History, Drama",French (France)
The Green Knight,2021-07-30,"Fantasy, Adventure",English
Of Mind and Music,2016-02-12,Drama,English
Ted K,2022-02-18,"Biography, Drama, Action, Fantasy",English
Let the Sunshine In,2018-04-27,"Romance, Comedy",French (France)
Godzilla vs. Kong,2021-03-31,"Sci-fi, Action, Adventure",English
The First Film,2016-09-08,Biography,English
The Land of Steady Habits,2018-09-14,"Comedy, Drama",English
Humpback Whales,2015-02-13,Documentary,English
Inside Out,2015-06-19,"Kids & family, Comedy, Fantasy, Animation",English
Disturbing the Peace,2016-11-11,Documentary,English
Pleasure,2022-05-13,Drama,English
Shin Godzilla,2016-10-11,"Sci-fi, Action",Japanese
Titane,2021-10-01,"Horror, Mystery & thriller, Drama",French (France)
Midnight Family,2019-12-06,"Documentary, Action, Crime, Drama",Spanish
The Proposal,2019-05-24,Documentary,English
Rust Creek,2019-01-04,"Mystery & thriller, Horror, Drama",English
Restoring Tomorrow,2018-04-27,Documentary,English
Killing for Love,2017-12-15,Documentary,English
The Dark Horse,2016-04-01,"Biography, Drama",English
Life Itself,2018-09-21,"Comedy, Drama, Romance",English
Ralph Breaks the Internet,2018-11-21,"Kids & family, Comedy, Adventure, Animation",English
Always in Season,2019-09-20,Documentary,English
Incitement,2020-01-31,Drama,English
The Other Fellow,2023-02-17,"Biography, Documentary",English (United Kingdom)
Lunana: A Yak in the Classroom,2022-01-21,"Drama, Romance, Comedy",Dzongkha
3 Faces,2019-03-08,Drama,Persian
On the Beach at Night Alone,2017-11-17,Drama,Korean
Honeyland,2019-07-26,Documentary,Turkish
The Age of Shadows,2016-09-23,"Action, Mystery & thriller",Korean
The Conjuring 2,2016-06-10,"Horror, Mystery & thriller",English
Say Your Prayers,2021-04-02,Comedy,English (United Kingdom)
"Monrovia, Indiana",2018-10-26,Documentary,English
Same Kind of Different as Me,2017-10-20,Drama,English
"I, Daniel Blake",2017-06-02,Drama,English (United Kingdom)
The Fabelmans,2022-11-23,Drama,English
Maiden,2019-06-28,Documentary,English
The Way I See It,2020-09-18,Documentary,English
Zootopia,2016-03-04,"Kids & family, Comedy, Adventure, Animation",English
Jay and Silent Bob Reboot,2019-10-15,Comedy,English
The People vs. Fritz Bauer,2016-08-19,"History, Drama, Mystery & thriller",German
Steve Jobs,2015-10-23,"Biography, Drama",English
The World Before Your Feet,2018-11-21,Documentary,English
Hustle,2022-06-03,Drama,English
Ocean Waves,2016-12-28,"Adventure, Drama, Anime",Japanese
A Man Called Ove,2016-09-30,"Comedy, Drama",Swedish
Duckweed,2017-02-10,"Comedy, Drama",Chinese
Enter the Fat Dragon,2020-02-14,"Action, Comedy",Chinese
The Loneliest Boy in the World,2022-10-14,"Comedy, Horror",English (United Kingdom)
Lion,2016-12-21,"Drama, Biography",English
Elvis,2022-06-24,"Biography, Drama, Music",English
Penguin Highway,2019-04-12,"Adventure, Anime",Japanese
Val,2021-07-23,"Documentary, Biography",English
RRR,2022-03-25,"Action, Drama",Telugu
June Again,2022-01-07,"Comedy, Drama",English (Australia)
Alive and Kicking,2017-04-07,"Documentary, Music",English
The Suicide Squad,2021-08-06,"Action, Adventure, Comedy",English
Polina,2017-08-25,Drama,French (France)
Donbass,2022-04-08,Drama,Ukrainian
The Last Vermeer,2020-11-20,Drama,English
A Simple Favor,2018-09-14,"Mystery & thriller, Comedy",English
MLK/FBI,2021-01-15,Documentary,English
Lasseter's Bones,2016-05-27,Documentary,English
2 Hearts,2020-10-16,"Romance, Drama",English
Entertainment,2015-11-13,Comedy,English
My Policeman,2022-10-21,"Romance, Drama, Lgbtq+",English
Two Step,2015-07-31,"Mystery & thriller, Crime, Drama",English
Blood on Her Name,2020-02-28,"Crime, Drama, Mystery & thriller",English
Saloum,2022-09-02,"Horror, Mystery & thriller, Action",French (France)
Diane,2018-09-07,Horror,English
Nakom,2017-03-03,Drama,English
Private Life,2018-10-05,"Comedy, Drama",English
The Wild Boys,2018-08-24,"Adventure, Fantasy",French (France)
Judas and the Black Messiah,2021-02-12,"History, Drama, Biography",English
Black Panther,2018-02-16,"Action, Adventure, Fantasy",English
Pinocchio,2020-12-25,Fantasy,Italian
Hichki,2018-03-23,Drama,Hindi
Miss Virginia,2019-10-18,Drama,English
The Storied Life of A.J. Fikry,2022-10-07,"Comedy, Drama",English
Days of the Bagnold Summer,2021-02-19,Comedy,English (United Kingdom)
Rumble: The Indians Who Rocked the World,2017-07-26,"Documentary, Music",English
The Pez Outlaw,2022-10-21,Documentary,English
Happy Hunting,2017-09-22,"Horror, Mystery & thriller",English
Embers,2016-08-05,Drama,English
José,2020-01-31,Drama,Spanish
102 Not Out,2018-05-04,Comedy,Hindi
Microbe and Gasoline,2016-07-01,"Comedy, Adventure",French (France)
Socrates,2019-08-09,Drama,Portuguese (Brazil)
The Uncondemned,2016-10-21,Documentary,English
Ainu Mosir,2020-11-17,Drama,Japanese
Far From the Tree,2018-07-20,Documentary,English
All the Rage,2017-06-23,Documentary,English
El Camino: A Breaking Bad Movie,2019-10-11,"Crime, Drama",English
The United States of Insanity,2021-10-26,"Documentary, Music",English
Escape From Extinction,2020-10-16,Documentary,English
Ask Me to Dance,2022-10-07,"Holiday, Romance, Comedy",English
Harold and Lillian: A Hollywood Love Story,2017-04-28,Documentary,English
Finding Kendrick Johnson,2021-10-29,Documentary,English
The Most Dangerous Year,2019-04-12,Documentary,English
The Conjuring: The Devil Made Me Do It,2021-06-04,"Horror, Mystery & thriller",English
Zombieland: Double Tap,2019-10-18,"Comedy, Horror, Action",English
The Tragedy of Macbeth,2021-12-25,"Drama, Mystery & thriller",English
Wheel of Fortune and Fantasy,2021-10-15,"Drama, Romance",Japanese
Fatman,2020-11-13,"Holiday, Fantasy, Comedy, Mystery & thriller",English
Possum,2018-11-02,"Drama, Horror, Mystery & thriller",English (United Kingdom)
Imperium,2016-08-19,"Mystery & thriller, Crime, Drama",English
This Is Not What I Expected,2017-05-05,"Romance, Comedy",Chinese
Swan Song,2021-08-06,"Drama, Lgbtq+",English
Let It Be Morning,2023-02-03,"Comedy, Drama",Arabic
On These Grounds,2021-09-24,Documentary,English
The Crime of Monsieur Lange,2017-11-17,"Comedy, Drama",French (Canada)
Dear Evan Hansen,2021-09-24,"Musical, Drama",English
Ash Is Purest White,2019-03-15,"Drama, Romance",Chinese
My Heart Can't Beat Unless You Tell It To,2021-06-25,"Horror, Drama",English
The Road Movie,2018-01-19,Documentary,Russian
Fort Tilden,2015-08-14,Comedy,English
Mike Wallace Is Here,2019-07-26,"Documentary, Biography",English
The Menu,2022-11-18,"Horror, Mystery & thriller, Comedy",English
Portrait of a Lady on Fire,2019-12-06,"Romance, History, Drama, Lgbtq+",French (France)
The Fits,2016-06-03,Drama,English
The Swimmer,2022-10-07,"Lgbtq+, Drama",Hebrew
Song of Lahore,2015-11-13,"Documentary, Music",English
Jimmy Carter: Rock & Roll President,2020-09-09,"Documentary, Music",English
Bad Luck Banging or Loony Porn,2021-11-19,"Comedy, Drama",Romany
Pin Cushion,2018-07-20,Drama,English
The Sparring Partner,2022-12-09,"Crime, Drama, Mystery & thriller",Chinese
Jockey,2021-12-29,Drama,English
Utama,2022-11-04,Drama,Spanish
The Last Full Measure,2020-01-24,"War, Drama",English
Penguins,2019-04-17,Documentary,English
Girls Trip,2017-07-21,Comedy,English
I Believe in Unicorns,2015-05-29,"Drama, Romance",English
Hold Your Fire,2022-05-20,"Documentary, History",English
The Meaning of Hitler,2021-08-13,Documentary,English
Marlina the Murderer in Four Acts,2018-06-22,"Mystery & thriller, Drama, Western",Indonesian
Gunda,2021-04-16,Documentary,English
Heal the Living,2017-04-14,Drama,French (France)
American Underdog,2021-12-25,"Biography, Drama",English
Aquarela,2019-08-16,Documentary,Russian
Results,2015-05-29,"Romance, Comedy",English
Baby Frankenstein,2018-10-26,"Comedy, Drama, Fantasy, Sci-fi",English
Peggy Guggenheim: Art Addict,2015-11-06,Documentary,English
Molly's Game,2018-01-05,"Biography, Drama",English
Tikkun,2016-06-10,Drama,Hebrew
Moffie,2021-04-09,"War, Drama",English (United Kingdom)
Crock of Gold: A Few Rounds With Shane MacGowan,2020-12-04,"Documentary, Music",English
Harry & Snowman,2016-09-30,Documentary,English
Thelma,2017-11-10,"Mystery & thriller, Horror",Norwegian
Linda Ronstadt: The Sound of My Voice,2019-09-06,"Documentary, Music",English
Fahrenheit 11/9,2018-09-21,Documentary,English
The Bad Guys,2022-04-22,"Kids & family, Comedy, Adventure, Animation",English
Honest Thief,2020-10-16,"Action, Mystery & thriller",English
Uncle Howard,2016-11-18,"Documentary, Biography",English
The Forbidden Room,2015-10-07,"Comedy, Drama, Mystery & thriller",English
Step,2017-08-04,Documentary,English
Decision to Leave,2022-10-14,"Mystery & thriller, Crime, Drama, Romance",Korean
Minari,2021-02-12,Drama,English
Mr. Gaga,2017-02-01,Documentary,English
Loopers: The Caddie's Long Walk,2019-06-07,Documentary,English
Professor Marston & the Wonder Women,2017-10-13,"Biography, History, Drama",English
Together Together,2021-04-23,"Comedy, Drama",English
Some Freaks,2017-08-04,"Comedy, Drama, Romance",English
Hotel by the River,2019-02-15,Drama,Korean
Sardar Udham,2021-10-01,"History, Drama, Biography",Hindi
The Miseducation of Cameron Post,2018-08-03,"Drama, Lgbtq+",English
Fyre,2019-01-18,Documentary,English
I Am the Blues,2017-07-12,"Documentary, Music, History, Drama",English
The Dry,2021-05-21,"Crime, Drama, Mystery & thriller",English (Australia)
Swallows and Amazons,2017-07-14,"Adventure, Drama",English (United Kingdom)
House of Hummingbird,2020-06-26,Drama,Korean
Thunder Road,2018-10-12,"Comedy, Drama",English
Merata: How Mum Decolonised the Screen,2019-05-10,"Documentary, Biography",English (Australia)
Ghostbusters: Afterlife,2021-11-19,"Comedy, Fantasy, Adventure",English
Writing with Fire,2021-11-26,Documentary,Hindi
Cameraperson,2016-09-09,Documentary,English
Synonymes,2019-10-25,Drama,French (France)
The Witness,2016-06-03,Documentary,English
The Art of Racing in the Rain,2019-08-09,"Comedy, Drama",English
Death of a Nation,2018-08-03,Documentary,English
Diane,2019-03-29,Drama,English
Black and Blue,2019-10-25,"Mystery & thriller, Crime, Drama, Action",English
Feels Good Man,2020-09-04,Documentary,English
My Scientology Movie,2017-03-10,Documentary,English
Scarred Hearts,2018-07-27,"History, Drama",Romanian
Dingo,2022-03-25,Drama,English
Operation Mincemeat,2022-05-06,"War, History, Drama",English (United Kingdom)
Félicité,2017-10-27,Drama,Lingala
Jojo Rabbit,2019-11-08,"Comedy, Drama",English
Survival Skills,2020-11-13,Comedy,English
Dying Laughing,2017-02-24,"Documentary, Comedy",English
Orion: The Man Who Would Be King,2015-12-04,Documentary,English
Created Equal: Clarence Thomas in His Own Words,2020-01-31,Documentary,English
Boy and the World,2015-12-11,"Kids & family, Adventure, Animation",Portuguese (Brazil)
Ride the Eagle,2021-07-30,Comedy,English
You Resemble Me,2022-11-04,Drama,French
